catalogue_release,observable_id,measurement_id,object_id,observable_name,value,err_plus,err_minus,censoring,unit,uncertainty_kind,source_location
v2-dataset-catalogue,RUBIESUDS50716_kocevski25__log_mbh,RUBIESUDS50716_kocevski25,RUBIES-UDS-50716,log_mbh,7.52,0.11,0.11,detection,log10(Msun),published_symmetric_1sigma,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESUDS50716_kocevski25__halpha_broad_fwhm,RUBIESUDS50716_kocevski25,RUBIES-UDS-50716,halpha_broad_fwhm,2280.0,,,detection,km/s,not_published,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESUDS50716_kocevski25__log_mstar,RUBIESUDS50716_kocevski25,RUBIES-UDS-50716,log_mstar,8.35,0.26,0.26,detection,log10(Msun),published_symmetric_1sigma,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESUDS59971_kocevski25__log_mbh,RUBIESUDS59971_kocevski25,RUBIES-UDS-59971,log_mbh,6.83,0.2,0.2,detection,log10(Msun),published_symmetric_1sigma,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESUDS59971_kocevski25__halpha_broad_fwhm,RUBIESUDS59971_kocevski25,RUBIES-UDS-59971,halpha_broad_fwhm,1540.0,,,detection,km/s,not_published,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESUDS59971_kocevski25__log_mstar,RUBIESUDS59971_kocevski25,RUBIES-UDS-59971,log_mstar,8.31,0.27,0.27,detection,log10(Msun),published_symmetric_1sigma,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESUDS63166_kocevski25__log_mbh,RUBIESUDS63166_kocevski25,RUBIES-UDS-63166,log_mbh,7.82,0.17,0.17,detection,log10(Msun),published_symmetric_1sigma,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESUDS63166_kocevski25__halpha_broad_fwhm,RUBIESUDS63166_kocevski25,RUBIES-UDS-63166,halpha_broad_fwhm,2200.0,,,detection,km/s,not_published,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESUDS63166_kocevski25__log_mstar,RUBIESUDS63166_kocevski25,RUBIES-UDS-63166,log_mstar,8.24,0.41,0.41,detection,log10(Msun),published_symmetric_1sigma,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,SKYFIRE299_skyfire26__log_mbh,SKYFIRE299_skyfire26,SKYFIRE-299,log_mbh,7.31,0.03,0.03,detection,log10(Msun),published_symmetric_1sigma,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE299_skyfire26__halpha_broad_fwhm,SKYFIRE299_skyfire26,SKYFIRE-299,halpha_broad_fwhm,1896.0,,,detection,km/s,not_published,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE1090_skyfire26__log_mbh,SKYFIRE1090_skyfire26,SKYFIRE-1090,log_mbh,6.73,0.08,0.09,detection,log10(Msun),published_asymmetric,Table 3 z>=4 rows with numerical black-hole masses
