physical_object_id,object_id,object_class,redshift,seed_mass_family,required_fedd
HZA-RUBIES-UDS-174752,RUBIES-UDS-174752,broad_line_agn,6.039,1e2,0.7356806631993589
HZA-J0910M0414-BHAE-1,J0910M0414-BHAE-1,broad_line_agn,4.9102,1e2,0.6222507640065763
HZA-RUBIES-UDS-182791,RUBIES-UDS-182791,broad_line_agn,4.718,1e2,0.6015792497775773
HZA-THRILS-25501,THRILS-25501,broad_line_agn,6.57,1e2,0.7259668389945969
HZA-GOODS-N-16813,GOODS-N-16813,broad_line_agn,5.355,1e2,0.6548561599143871
HZA-J1148-18404,J1148-18404,broad_line_agn,5.011,1e2,0.6235190547868262
HZA-RUBIES-EGS-60935,RUBIES-EGS-60935,broad_line_agn,5.287,1e2,0.645669392381483
HZA-GOODS-N-15498,GOODS-N-15498,broad_line_agn,5.086,1e2,0.6275083827356964
HZA-J0923P0402-BHAE-1,J0923P0402-BHAE-1,broad_line_agn,4.8688,1e2,0.6079125973182067
HZA-CEERS-2782,RUBIES-EGS-50052,broad_line_agn,5.24,1e2,0.6388921781959334
HZA-J0229M0808-BHAE-2,J0229M0808-BHAE-2,broad_line_agn,5.0369,1e2,0.6203272541303377
HZA-GOODS-N-4014,GOODS-N-4014,broad_line_agn,5.228,1e2,0.6368735258141983
HZA-GS-30148179,GS-30148179,broad_line_agn,5.922,1e2,0.696261873125633
HZA-CEERS-746,CEERS-746,broad_line_agn,5.623,1e2,0.668332393394149
HZA-RUBIES-UDS-29813,RUBIES-UDS-29813,broad_line_agn,5.44,1e2,0.6500812153876583
HZA-GN-61888,GN-61888,broad_line_agn,5.874,1e2,0.6774526738858004
HZA-J2002M3013-BHAE-1,J2002M3013-BHAE-1,broad_line_agn,4.9461,1e2,0.6040960093951534
HZA-GOODS-N-13733,GOODS-N-13733,broad_line_agn,5.236,1e2,0.6279250940567935
HZA-RUBIES-EGS-37124,RUBIES-EGS-37124,broad_line_agn,5.682,1e2,0.6641513697348731
HZA-RUBIES-UDS-19521,RUBIES-UDS-19521,broad_line_agn,5.669,1e2,0.6620043229185776
HZA-RUBIES-EGS-42232,RUBIES-EGS-42232,broad_line_agn,4.954,1e2,0.6011656815933784
HZA-GN-1093,GN-1093,broad_line_agn,5.594,1e2,0.6446687827961851
HZA-J1120-14389,J1120-14389,broad_line_agn,4.897,1e2,0.5897176795115445
HZA-RUBIES-EGS-926125,RUBIES-EGS-926125,broad_line_agn,5.284,1e2,0.620838400608624
HZA-J1120-7546,J1120-7546,broad_line_agn,4.967,1e2,0.5916059218319842
HZA-CEERS-672,CEERS-672,broad_line_agn,5.666,1e2,0.6065964089731533
HZA-GS-159717,GS-159717,broad_line_agn,5.077,1e2,0.5963891513943026
HZA-DC-519281,DC_519281,broad_line_agn,5.5759,1e2,0.5917955072599286
