interpretation_variant,growth_config,seed_model,n_rows,n_objects,median_required_fedd,max_required_fedd,median_required_log_mseed,min_required_log_mseed,max_required_log_mseed,feasible_seed_model_fraction,mean_feasibility_score,median_feasibility_score
baseline,fedd2_eps0p1_no_merger_boost,heavy_dcbh,23,23,0.26840295626144667,0.5924954299153876,-8.80617309591376,-16.14385802489892,-0.5350395677574742,0.0,0.4,0.4
baseline,fedd2_eps0p1_no_merger_boost,intermediate_cluster,23,23,0.45653586952881586,0.9739302560411736,-8.80617309591376,-16.14385802489892,-0.5350395677574742,0.0,0.4,0.4
baseline,fedd2_eps0p1_no_merger_boost,light_popiii,23,23,0.7073797538853083,1.4825100242088882,-8.80617309591376,-16.14385802489892,-0.5350395677574742,0.0,0.3899125437465037,0.4
baseline,fedd2_eps0p1_no_merger_boost,pbh,23,23,0.3938248984396928,0.8467853139992451,-8.80617309591376,-16.14385802489892,-0.5350395677574742,0.0,0.4,0.4
baseline,fedd2_spin_0_eps0p057_merger_boost_x2,heavy_dcbh,23,23,0.12761057364930903,0.28917144762455255,-22.685844648690352,-36.38389612527575,-7.3774066949975,0.0,0.4,0.4
baseline,fedd2_spin_0_eps0p057_merger_boost_x2,intermediate_cluster,23,23,0.22862945677459867,0.4899177743282639,-22.685844648690352,-36.38389612527575,-7.3774066949975,0.0,0.4,0.4
baseline,fedd2_spin_0_eps0p057_merger_boost_x2,light_popiii,23,23,0.3655755548094407,0.7675725992354213,-22.685844648690352,-36.38389612527575,-7.3774066949975,0.0,0.4,0.4
baseline,fedd2_spin_0_eps0p057_merger_boost_x2,pbh,23,23,0.1943929322658882,0.42050406810147456,-22.685844648690352,-36.38389612527575,-7.3774066949975,0.0,0.4,0.4
baseline,fedd2_spin_0_eps0p057_no_merger_boost,heavy_dcbh,23,23,0.146532324897281,0.3234678710168384,-22.38481465302637,-36.082866129611766,-7.076376699333519,0.0,0.4,0.4
baseline,fedd2_spin_0_eps0p057_no_merger_boost,intermediate_cluster,23,23,0.2492418984234125,0.5317089896972064,-22.38481465302637,-36.082866129611766,-7.076376699333519,0.0,0.4,0.4
baseline,fedd2_spin_0_eps0p057_no_merger_boost,light_popiii,23,23,0.3861879964582546,0.8093638146043638,-22.38481465302637,-36.082866129611766,-7.076376699333519,0.0,0.4,0.4
baseline,fedd2_spin_0_eps0p057_no_merger_boost,pbh,23,23,0.21500537391470198,0.4622952834704171,-22.38481465302637,-36.082866129611766,-7.076376699333519,0.0,0.4,0.4
baseline,fedd2_spin_minus1_eps0p038_merger_boost_x2,heavy_dcbh,23,23,0.08252902176126609,0.18701457105998,-39.10877651992363,-60.37133849071891,-15.246902841073387,0.0,0.4,0.4
baseline,fedd2_spin_minus1_eps0p038_merger_boost_x2,intermediate_cluster,23,23,0.1478605171486075,0.3168423548497015,-39.10877651992363,-60.37133849071891,-15.246902841073387,0.0,0.4,0.4
baseline,fedd2_spin_minus1_eps0p038_merger_boost_x2,light_popiii,23,23,0.23642706129641025,0.49640883144791564,-39.10877651992363,-60.37133849071891,-15.246902841073387,0.0,0.4,0.4
baseline,fedd2_spin_minus1_eps0p038_merger_boost_x2,pbh,23,23,0.12571888111165683,0.27195073570014805,-39.10877651992363,-60.37133849071891,-15.246902841073387,0.0,0.4,0.4
baseline,fedd2_spin_minus1_eps0p038_no_merger_boost,heavy_dcbh,23,23,0.09476620223814891,0.2091949452369194,-38.80774652425965,-60.07030849505493,-14.945872845409406,0.0,0.4,0.4
baseline,fedd2_spin_minus1_eps0p038_no_merger_boost,intermediate_cluster,23,23,0.16119111034900097,0.34386980268557993,-38.80774652425965,-60.07030849505493,-14.945872845409406,0.0,0.4,0.4
baseline,fedd2_spin_minus1_eps0p038_no_merger_boost,light_popiii,23,23,0.2497576544968037,0.523436279283794,-38.80774652425965,-60.07030849505493,-14.945872845409406,0.0,0.4,0.4
baseline,fedd2_spin_minus1_eps0p038_no_merger_boost,pbh,23,23,0.13904947431205028,0.2989781835360264,-38.80774652425965,-60.07030849505493,-14.945872845409406,0.0,0.4,0.4
baseline,fedd2_spin_plus1_eps0p423_merger_boost_x2,heavy_dcbh,23,23,1.5400125115600114,3.4897394047577253,4.418650277429112,2.4136554816318183,6.395494867551147,0.5652173913043478,0.6736200390476672,0.6850372051555429
