physical_object_id,measurement_id,object_id,growth_ranking_eligible_flag,primary_growth_ranking_flag,open_identity_group,excluded_identity_flag,exploratory_only_evidence_flag,evidence_selection_reason,publication_primary_flag,publication_exploratory_flag
HZA-J2232P2930-BHAE-2,J2232P2930BHAE2_lin24,J2232P2930-BHAE-2,True,True,,False,False,,True,True
HZA-J2232P2930-BHAE-3,J2232P2930BHAE3_lin24,J2232P2930-BHAE-3,True,True,,False,False,,True,True
HZA-JADES-1180-10013268,JADES118010013268_baccus26,JADES_1180_10013268,True,True,,False,False,,True,True
HZA-JADES-1180-16375,JADES118016375_baccus26,JADES_1180_16375,True,True,,False,False,,True,True
HZA-JADES-1181-28746,JADES118128746_baccus26,JADES_1181_28746,True,True,,False,False,,True,True
HZA-JADES-1181-39353,JADES118139353_baccus26,JADES_1181_39353,True,True,,False,False,,True,True
HZA-JADES-1181-68797,JADES118168797_baccus26,JADES_1181_68797,True,True,,False,False,,True,True
HZA-JADES-1181-72127,JADES118172127_baccus26,JADES_1181_72127,True,True,,False,False,,True,True
HZA-JADES-1181-78773,JADES118178773_baccus26,JADES_1181_78773,True,True,,False,False,,True,True
HZA-JADES-GDN198-1181-38147,jadesgdn198118138147_mascia26,jades-gdn198_1181_38147,False,False,,False,False,,False,False
HZA-JADES-NS-GS00004902,scholtz25_00004902,JADES-NS-GS00004902,False,False,,False,False,,False,False
HZA-JADES-NS-GS00007762,scholtz25_00007762,JADES-NS-GS00007762,False,False,,False,False,,False,False
HZA-JADES-NS-GS00009422,scholtz25_00009422,JADES-NS-GS00009422,False,False,,False,False,,False,False
HZA-JADES-NS-GS00009452,scholtz25_00009452,JADES-NS-GS00009452,False,False,,False,False,,False,False
HZA-JADES-NS-GS00016745,scholtz25_00016745,JADES-NS-GS00016745,False,False,jades_16745_neighbour,True,False,,False,False
HZA-JADES-NS-GS00017072,scholtz25_00017072,JADES-NS-GS00017072,False,False,,False,False,,False,False
HZA-JADES-NS-GS00021842,scholtz25_00021842,JADES-NS-GS00021842,False,False,,False,False,,False,False
HZA-JADES-NS-GS00022251,scholtz25_00022251,JADES-NS-GS00022251,False,False,,False,False,,False,False
HZA-JADES-NS-GS00095256,scholtz25_00095256,JADES-NS-GS00095256,False,False,,False,False,,False,False
HZA-JADES-NS-GS00099671,scholtz25_00099671,JADES-NS-GS00099671,False,False,jades_99671_neighbour,True,False,,False,False
HZA-JADES-NS-GS00111091,scholtz25_00111091,JADES-NS-GS00111091,False,False,,False,False,,False,False
HZA-JADES-NS-GS00201127,scholtz25_00201127,JADES-NS-GS00201127,False,False,,False,False,,False,False
HZA-JADES-NS-GS00202208,scholtz25_00202208,JADES-NS-GS00202208,False,False,,False,False,,False,False
HZA-JADES-NS-GS00208643,scholtz25_00208643,JADES-NS-GS00208643,False,False,jades_16745_neighbour,True,False,,False,False
HZA-JADES-NS-GS10000626,scholtz25_10000626,JADES-NS-GS10000626,False,False,,False,False,,False,False
HZA-JADES-NS-GS10013609,scholtz25_10013609,JADES-NS-GS10013609,False,False,,False,False,,False,False
HZA-JADES-NS-GS10013905,scholtz25_10013905,JADES-NS-GS10013905,False,False,,False,False,,False,False
HZA-JADES-NS-GS10015338,scholtz25_10015338,JADES-NS-GS10015338,False,False,,False,False,,False,False
HZA-JADES-NS-GS10056849,scholtz25_10056849,JADES-NS-GS10056849,False,False,,False,False,,False,False
HZA-JADES-NS-GS10058975,scholtz25_10058975,JADES-NS-GS10058975,False,False,,False,False,,False,False
HZA-MACS1423-1208-4103248,macs142312084103248_mascia26,macs1423_1208_4103248,False,False,,False,False,,False,False
HZA-MOM-BH-1,MoMBHstar1_naidu26,MoM-BH*-1,False,False,,False,False,,False,False
HZA-NEXUS-OBS3-5105-10835,NX10835_zhuang25,NX10835,True,True,,False,False,,True,True
HZA-NX12143,NX12143_zhuang25,NX12143,False,False,,False,False,,False,False
HZA-NX12300,NX12300_zhuang25,NX12300,True,True,,False,False,,True,True
HZA-NX12349,NX12349_zhuang25,NX12349,True,True,,False,False,,True,True
HZA-NX15499,NX15499_zhuang25,NX15499,True,True,,False,False,,True,True
HZA-NX21246,NX21246_zhuang25,NX21246,True,True,,False,False,,True,True
HZA-NX21958,NX21958_zhuang25,NX21958,True,True,,False,False,,True,True
HZA-NX23192,NX23192_zhuang25,NX23192,True,True,,False,False,,True,True
HZA-NX23770,NX23770_zhuang25,NX23770,True,True,,False,False,,True,True
HZA-NX26545,NX26545_zhuang25,NX26545,True,True,,False,False,,True,True
HZA-NX26913,NX26913_zhuang25,NX26913,True,True,,False,False,,True,True
HZA-NX32030,NX32030_zhuang25,NX32030,True,True,,False,False,,True,True
HZA-NX5732,NX5732_zhuang25,NX5732,True,True,,False,False,,True,True
HZA-NX7680,NX7680_zhuang25,NX7680,False,False,,False,False,,False,False
HZA-NX8933,NX8933_zhuang25,NX8933,False,False,,False,False,,False,False
HZA-RUBIES-4233-119559,RUBIES4233119559_baccus26,RUBIES_4233_119559,True,True,,False,False,,True,True
HZA-RUBIES-4233-148866,RUBIES4233148866_baccus26,RUBIES_4233_148866,True,True,,False,False,,True,True
HZA-RUBIES-4233-166271,RUBIES4233166271_baccus26,RUBIES_4233_166271,True,True,,False,False,,True,True
HZA-RUBIES-4233-17604,RUBIES423317604_baccus26,RUBIES_4233_17604,True,True,,False,False,,True,True
HZA-RUBIES-4233-24210,RUBIES423324210_baccus26,RUBIES_4233_24210,True,True,,False,False,,True,True
HZA-RUBIES-4233-41683,RUBIES423341683_baccus26,RUBIES_4233_41683,True,True,,False,False,,True,True
HZA-RUBIES-4233-42658,RUBIES423342658_baccus26,RUBIES_4233_42658,True,True,,False,False,,True,True
HZA-RUBIES-4233-42803,RUBIES423342803_baccus26,RUBIES_4233_42803,True,True,,False,False,,True,True
HZA-RUBIES-4233-48449,RUBIES423348449_baccus26,RUBIES_4233_48449,True,True,,False,False,,True,True
HZA-RUBIES-4233-54059,RUBIES423354059_baccus26,RUBIES_4233_54059,True,True,,False,False,,True,True
HZA-RUBIES-4233-925921,RUBIES4233925921_baccus26,RUBIES_4233_925921,True,True,,False,False,,True,True
HZA-RUBIES-EGS-13872,RUBIESEGS13872_taylor24,RUBIES-EGS-13872,True,True,,False,False,,True,True
HZA-RUBIES-EGS-17146,RUBIESEGS17146_taylor24,RUBIES-EGS-17146,True,True,,False,False,,True,True
HZA-RUBIES-EGS-28812,RUBIESEGS28812_taylor24,RUBIES-EGS-28812,True,True,,False,False,,True,True
HZA-RUBIES-EGS-29489,RUBIESEGS29489_taylor24,RUBIES-EGS-29489,True,True,,False,False,,True,True
HZA-RUBIES-EGS-37124,RUBIESEGS37124_taylor24,RUBIES-EGS-37124,True,True,,False,False,,True,True
HZA-RUBIES-EGS-42046,RUBIESEGS42046_taylor24,RUBIES-EGS-42046,True,True,,False,False,,True,True
HZA-RUBIES-EGS-42232,RUBIESEGS42232_taylor24,RUBIES-EGS-42232,True,True,,False,False,,True,True
HZA-RUBIES-EGS-45599,RUBIESEGS45599_taylor24,RUBIES-EGS-45599,True,True,,False,False,,True,True
HZA-RUBIES-EGS-46985,RUBIESEGS46985_taylor24,RUBIES-EGS-46985,True,True,,False,False,,True,True
HZA-RUBIES-EGS-49140,RUBIESEGS49140_taylor24,RUBIES-EGS-49140,True,False,,False,False,,False,True
HZA-RUBIES-EGS-55604,RUBIESEGS55604_kocevski25,RUBIES-EGS-55604,True,True,,False,False,,True,True
HZA-RUBIES-EGS-60935,RUBIESEGS60935_taylor24,RUBIES-EGS-60935,True,True,,False,False,,True,True
HZA-RUBIES-EGS-61496,RUBIESEGS61496_kocevski25,RUBIES-EGS-61496,True,True,,False,False,,True,True
HZA-RUBIES-EGS-6411,RUBIESEGS6411_taylor24,RUBIES-EGS-6411,True,True,,False,False,,True,True
HZA-RUBIES-EGS-926125,RUBIESEGS926125_taylor24,RUBIES-EGS-926125,True,True,,False,False,,True,True
HZA-RUBIES-EGS-927271,RUBIESEGS927271_kocevski25,RUBIES-EGS-927271,True,True,,False,False,,True,True
HZA-RUBIES-UDS-119957,RUBIESUDS119957_taylor24,RUBIES-UDS-119957,True,True,,False,False,,True,True
HZA-RUBIES-UDS-139709,RUBIESUDS139709_taylor24,RUBIES-UDS-139709,True,True,,False,False,,True,True
HZA-RUBIES-UDS-143683,RUBIESUDS143683_taylor24,RUBIES-UDS-143683,True,True,,False,False,,True,True
HZA-RUBIES-UDS-155916,RUBIESUDS155916_taylor24,RUBIES-UDS-155916,True,True,,False,False,,True,True
HZA-RUBIES-UDS-172350,RUBIESUDS172350_taylor24,RUBIES-UDS-172350,True,True,,False,False,,True,True
HZA-RUBIES-UDS-174752,RUBIESUDS174752_taylor24,RUBIES-UDS-174752,True,True,,False,False,,True,True
HZA-RUBIES-UDS-182791,RUBIESUDS182791_taylor24,RUBIES-UDS-182791,True,True,,False,False,,True,True
