catalogue_release,physical_object_id,host_system_id,host_system_assignment_status,host_property_scope
v7.2-accreting-atlas-catalogue,HZA-THRILS-25501,HZS-THRILS-25501,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-THRILS-40467,HZS-THRILS-40467,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-THRILS-44774,HZS-THRILS-44774,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-THRILS-49400,HZS-THRILS-49400,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-CFHQS-J1509-1749,HZS-XQR30-CFHQS-J1509-1749,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-DELS-J0923-0402,HZS-XQR30-DELS-J0923-0402,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-DELS-J1535-1943,HZS-XQR30-DELS-J1535-1943,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J007-04,HZS-XQR30-PSO-J007-04,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J009-10,HZS-XQR30-PSO-J009-10,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J023-02,HZS-XQR30-PSO-J023-02,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J025-11,HZS-XQR30-PSO-J025-11,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J029-29,HZS-XQR30-PSO-J029-29,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J036-03,HZS-XQR30-PSO-J036-03,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J060-24,HZS-XQR30-PSO-J060-24,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J065-01,HZS-XQR30-PSO-J065-01,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J065-26,HZS-XQR30-PSO-J065-26,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J089-15,HZS-XQR30-PSO-J089-15,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J108-08,HZS-XQR30-PSO-J108-08,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J158-14,HZS-XQR30-PSO-J158-14,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J183-05,HZS-XQR30-PSO-J183-05,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J183-12,HZS-XQR30-PSO-J183-12,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J217-07,HZS-XQR30-PSO-J217-07,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J217-16,HZS-XQR30-PSO-J217-16,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J231-20,HZS-XQR30-PSO-J231-20,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J239-07,HZS-XQR30-PSO-J239-07,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J242-12,HZS-XQR30-PSO-J242-12,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J308-27,HZS-XQR30-PSO-J308-27,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J323-12,HZS-XQR30-PSO-J323-12,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-PSO-J359-06,HZS-XQR30-PSO-J359-06,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-SDSS-J0100-2802,HZS-XQR30-SDSS-J0100-2802,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-SDSS-J0818-1722,HZS-XQR30-SDSS-J0818-1722,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-SDSS-J0836-0054,HZS-XQR30-SDSS-J0836-0054,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-SDSS-J0842-1218,HZS-XQR30-SDSS-J0842-1218,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-XQR30-SDSS-J0927-2001,HZS-XQR30-SDSS-J0927-2001,source_verified_single_quasar_host,not_published
