catalogue_release,physical_object_id,host_system_id,host_system_assignment_status,host_property_scope
v3-dataset-catalogue,HZA-J0226-3325-6699,HZS-J0226-3325-6699,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-J0226-3325-9556,HZS-J0226-3325-9556,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-J0229M0808-BHAE-1,HZS-J0229M0808-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J0229M0808-BHAE-2,HZS-J0229M0808-BHAE-2,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J0430M1445-BHAE-1,HZS-J0430M1445-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J0647-1045,HZS-J0647-1045,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-J0910-2028-12910,HZS-J0910-2028-12910,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-J0910-2028-14306,HZS-J0910-2028-14306,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-J0910M0414-BHAE-1,HZS-J0910M0414-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J0923P0402-BHAE-1,HZS-J0923P0402-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J1120-14389,HZS-J1120-14389,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J1120-7546,HZS-J1120-7546,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J1148-18404,HZS-J1148-18404,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J1148-21787,HZS-J1148-21787,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J1148-7111,HZS-J1148-7111,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J1526M2050-BHAE-1,HZS-J1526M2050-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J1526M2050-BHAE-2,HZS-J1526M2050-BHAE-2,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J1526M2050-BHAE-3,HZS-J1526M2050-BHAE-3,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J2002M3013-BHAE-1,HZS-J2002M3013-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J2132P1217-BHAE-1,HZS-J2132P1217-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J2232P2930-BHAE-1,HZS-J2232P2930-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J2232P2930-BHAE-2,HZS-J2232P2930-BHAE-2,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J2232P2930-BHAE-3,HZS-J2232P2930-BHAE-3,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-JADES-1180-10013268,HZS-JADES-1180-10013268,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-JADES-1180-16375,HZS-JADES-1180-16375,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-JADES-1181-28746,HZS-JADES-1181-28746,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-JADES-1181-39353,HZS-JADES-1181-39353,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-JADES-1181-68797,HZS-JADES-1181-68797,source_verified_single_object_host,not_published
